bus_id,station_id,voltage,dc,symbol,under_construction,tags,country,fid,visible,cat,name,name_nat,oid,dup,symbol,label,tie_line,geom
2346,2689,132,f,Substation,f,"'""mw""=>""-1"""," ""country""=>""LT"""," ""ogc_fid""=>""6029"""," ""visible""=>""-1"""," ""category""=>""-1"""," ""name_eng""=>""Kalveliai"""," ""name_nat""=>"" """," ""objectid""=>""6388"""," ""duplicate""=>""1"""," ""mb_symbol""=>""substation"""," ""annotation""=>""Kalveliai"""," ""tie_line_station""=>""1""'",POINT(25.455322 54.489187)
3059,3372,300,f,Substation,f,"'""mw""=>""-1"""," ""country""=>""LT"""," ""ogc_fid""=>""1572"""," ""visible""=>""-1"""," ""category""=>""-1"""," ""name_eng""=>""Klaipėda"""," ""name_nat""=>""Klaipėda"""," ""objectid""=>""1624"""," ""duplicate""=>""1"""," ""mb_symbol""=>""substation"""," ""annotation""=>""Klaipėda"""," ""tie_line_station""=>""1""'",POINT(21.126709 55.758032)
3060,3373,300,f,Substation,f,"'""mw""=>""-1"""," ""country""=>""LT"""," ""ogc_fid""=>""1573"""," ""visible""=>""-1"""," ""category""=>""-1"""," ""name_eng""=>""Bitėnai"""," ""name_nat""=>""Битенай"""," ""objectid""=>""1625"""," ""duplicate""=>""1"""," ""mb_symbol""=>""substation"""," ""annotation""=>""Bitėnai"""," ""tie_line_station""=>""1""'",POINT(21.983643 55.185141)
3061,3374,300,f,Substation,f,"'""mw""=>""-1"""," ""country""=>""LT"""," ""ogc_fid""=>""1574"""," ""visible""=>""-1"""," ""category""=>""-1"""," ""name_eng""=>""Kaunas"""," ""name_nat""=>"" """," ""objectid""=>""1626"""," ""duplicate""=>""1"""," ""mb_symbol""=>""substation"""," ""annotation""=>""Kaunas""'",POINT(23.763428 54.933454),POINT(23.763428 54.933454)
3062,3375,300,f,Substation,f,"'""mw""=>""-1"""," ""country""=>""LT"""," ""ogc_fid""=>""1575"""," ""visible""=>""-1"""," ""category""=>""-1"""," ""name_eng""=>""Jurbarkas"""," ""name_nat""=>"" """," ""objectid""=>""1627"""," ""duplicate""=>""1"""," ""mb_symbol""=>""substation"""," ""annotation""=>""Jurbarkas""'",POINT(22.840576 55.090944),POINT(22.840576 55.090944)
3063,3376,300,f,Substation,f,"'""mw""=>""-1"""," ""country""=>""LT"""," ""ogc_fid""=>""1576"""," ""visible""=>""-1"""," ""category""=>""-1"""," ""name_eng""=>""Alytus"""," ""name_nat""=>"" """," ""objectid""=>""1628"""," ""duplicate""=>""1"""," ""mb_symbol""=>""substation"""," ""annotation""=>""Alytus"""," ""tie_line_station""=>""1""'",POINT(24.005127 54.406143)
3064,3377,300,f,Substations + Power Plants,f,"'""mw""=>""900"""," ""country""=>""LT"""," ""ogc_fid""=>""1577"""," ""visible""=>""-1"""," ""category""=>""1"""," ""name_eng""=>""Kruonio HAE"""," ""name_nat""=>"" """," ""objectid""=>""1629"""," ""duplicate""=>""1"""," ""mb_symbol""=>""power_plus_sub"""," ""annotation""=>""Kruonio HAE"""," ""tie_line_station""=>""1""'",POINT(24.082031 54.76267)
3065,3378,300,f,Substation,f,"'""mw""=>""-1"""," ""country""=>""LT"""," ""ogc_fid""=>""1578"""," ""visible""=>""-1"""," ""category""=>""-1"""," ""name_eng""=>""Jonava"""," ""name_nat""=>"" """," ""objectid""=>""1630"""," ""duplicate""=>""1"""," ""mb_symbol""=>""substation"""," ""annotation""=>""Jonava""'",POINT(24.224854 55.122367),POINT(24.224854 55.122367)
3066,3379,300,f,Substation,f,"'""mw""=>""-1"""," ""country""=>""LT"""," ""ogc_fid""=>""1579"""," ""visible""=>""-1"""," ""category""=>""-1"""," ""name_eng""=>""Telšiai"""," ""name_nat""=>""Telšiai"""," ""objectid""=>""1631"""," ""duplicate""=>""1"""," ""mb_symbol""=>""substation"""," ""annotation""=>""Telšiai""'",POINT(22.203369 56.041363),POINT(22.203369 56.041363)
3067,3380,300,f,Substation,f,"'""mw""=>""-1"""," ""country""=>""LT"""," ""ogc_fid""=>""1580"""," ""visible""=>""-1"""," ""category""=>""-1"""," ""name_eng""=>""Šiauliai"""," ""name_nat""=>""Šiauliai"""," ""objectid""=>""1632"""," ""duplicate""=>""1"""," ""mb_symbol""=>""substation"""," ""annotation""=>""Šiauliai"""," ""tie_line_station""=>""1""'",POINT(23.312988 55.9492)
